dossier,fichier,Ra_bleu,Rq_bleu,K_bleu,Ra_orange,Rq_orange,K_orange,L2,L2_norm_stable,dRa,dRq,dK,periode_um,largeur_sillon_um,profondeur_um
PMMA-VIII,ImX1Y1.xyz,4.143286524230471,4.946226061562733,1.4449572895453946,3.9772686882512134,5.670252252483639,1.9989757377888735,99.13357564801852,0.4014356275988041,0.041741669721653926,0.12768853283445614,0.5540184482434789,83.33333333333333,41.0,8.083879447665067
PMMA-X,ImX0Y0.xyz,2.354024973904854,2.613122828886151,1.218425051671269,2.020663289935409,2.872045739518091,1.999599959996,50.08233464620497,0.5030133320236694,0.16497636475600103,0.09015278101921372,0.781174908324731,90.90909090909092,45.0,4.082148060475573
PMMA-X,ImX0Y1.xyz,2.0179996187294575,2.2825072035184806,1.305051287790401,1.7496602433963782,2.4944291456863104,1.9989757377888744,47.20752727788289,0.5889147691521125,0.15336656150578615,0.08495809252963253,0.6939244499984734,83.33333333333333,41.0,3.556220006903208
PMMA-X,ImX1Y0.xyz,2.189004895760602,2.4192131760652726,1.2266256920539313,1.7476187578317148,2.4915186714315434,1.9989757377888744,49.793832236825935,0.6193685601370916,0.25256431698897447,0.02902065161916945,0.772350045734943,83.33333333333333,41.0,3.5520706459994202
PMMA-X,ImX1Y1.xyz,2.565997621563525,2.768331074576508,1.1194299722037049,1.970055872699345,2.8086394521673097,1.9989757377888746,54.790201859375195,0.5365540409790844,0.30249992252637403,0.014351567111861743,0.8795457655851697,83.33333333333333,41.0,4.004178603047449
PMMA-XI,ImX0Y0.xyz,4.778984690969085,5.648896241932973,1.5015118975128943,4.463072267608667,6.330758179440631,1.999855994815813,70.8377400392715,0.2685617824272201,0.07078362267471976,0.10770620487796066,0.49834409730291873,142.85714285714286,71.0,8.980024683317236
PMMA-XI,ImX0Y1.xyz,4.702172989215623,5.591529567075793,1.5082346026938471,4.425636294384609,6.277656172687669,1.9998559948158139,69.01381772179761,0.27220082069598805,0.06248518324515119,0.10929662070328437,0.49162139212196676,142.85714285714286,71.0,8.904700793530402
PMMA-XI,ImX1Y0.xyz,5.591743435395318,6.382620053528447,1.455466590451906,4.891898705841719,6.939037929044347,1.9998559948158132,89.08333390427013,0.30456265960225815,0.14306198301241838,0.08018660240880553,0.5443894043639073,142.85714285714286,71.0,9.842854538916939
PMMA-XI,ImX1Y1.xyz,4.960233899268629,5.86242386970897,1.5255296706928976,4.55798682258128,6.465392139908136,1.999855994815813,76.79161627593449,0.2952781339323187,0.08825103984384673,0.09326089696513493,0.4743263241229154,142.85714285714286,71.0,9.170999643020684
PMMA-XII,ImX0Y0.xyz,9.62667160084866,11.652089152101311,1.5694755924588009,9.62685138642705,13.655451783561906,1.9998559948158132,161.72563281910223,0.2717766170727175,1.867542887848199e-05,0.14670789829686876,0.43038040235701236,142.85714285714286,71.0,19.36992230669427
PMMA-XII,ImX0Y1.xyz,9.331467274375267,11.453770574275392,1.5630253226018145,9.287897374950294,13.17465385963305,1.999855994815813,150.43872845258522,0.2663484326877055,0.004691040142463517,0.13062075889753882,0.4368306722139985,142.85714285714286,71.0,18.6879222836022
PMMA-XII,ImX1Y0.xyz,8.66642953209606,10.860496412409557,1.5841749632251294,9.018561922669424,12.792608148673931,1.9998559948158143,135.81319315860694,0.24856703878565697,0.03904529276316536,0.15103344945844022,0.4156810315906849,142.85714285714286,71.0,18.145999844405274
PMMA-XII,ImX1Y1.xyz,10.247638453891057,12.268932280456262,1.5570150355522576,9.858034683308002,13.983379600976187,1.9998559948158132,156.41553624922327,0.26253473360670043,0.03952144449671558,0.12260607731769212,0.4428409592635556,142.85714285714286,71.0,19.835079845690146
PMMA-XIII,ImX0Y0.xyz,1.0585008530924935,1.1033160374348872,0.22827920338921093,0.7590495355277501,1.0777779162068086,1.9997439836149513,26.565538728974037,0.7214689661967284,0.39450826797033955,0.023695160982662184,1.7714647802257404,43.47826086956522,21.0,1.530341805499496
PMMA-XIII,ImX0Y1.xyz,1.1438815123584443,1.1969451892563412,0.5837394102283859,0.8247992773348841,1.1699574773370855,1.9998559948158139,26.268876666375085,0.662599380927357,0.3868604687125674,0.02306725880386848,1.416116584587428,142.85714285714286,71.0,1.6595558900098277
PMMA-XIII,ImX1Y0.xyz,0.9596319564365646,1.0104121217359276,0.11682393773788302,0.7301727396405565,1.032620191274794,1.9999999999999996,21.83862992998823,0.732175178574958,0.3142533325867033,0.0215065226561666,1.8831760622621165,1000.0,500.0,1.4603454792811132
PMMA-XIII,ImX1Y1.xyz,0.8311071126593228,0.878254951089166,0.4870599781229026,0.6654375042067494,0.9429585501595985,1.999935998975984,20.55519656641225,0.7265803809895699,0.24896343744566032,0.06861764926939924,1.5128760208530814,166.66666666666666,83.0,1.3362198879653604
PMMA-XIX,ImX0Y0.xyz,4.722021072737453,5.579043686873809,1.4902476477747233,4.339153206535538,6.154982040844145,1.9998559948158143,69.70714523413876,0.27376683729889073,0.0882356183287671,0.09357271071604092,0.509608347041091,142.85714285714286,71.0,8.730690556409533
PMMA-XIX,ImX0Y1.xyz,4.635913137993419,5.513905705449365,1.518856937086215,4.284699049660701,6.077740159384623,1.9998559948158137,67.36536405958168,0.28331613644066106,0.08196937153859846,0.09277041123001004,0.4809990577295986,142.85714285714286,71.0,8.621124848411874
PMMA-XIX,ImX0Y2.xyz,4.99686704037995,5.830725425324206,1.4918812679342304,4.477362265378895,6.351028189613812,1.999855994815813,72.56584051140312,0.2770998677367125,0.1160292029568646,0.08192417806308681,0.5079747268815826,142.85714285714286,71.0,9.00877719392132
PMMA-XIX,ImX1Y0.xyz,5.199490526556559,6.046986763609628,1.5172158140690613,4.594201495263645,6.5167617618978095,1.9998559948158128,79.7190552427456,0.27946143258257317,0.13175064957793683,0.0720871830906664,0.4826401807467515,142.85714285714286,71.0,9.24386618765321
PMMA-XIX,ImX1Y1.xyz,5.0255860975187785,5.890560261093323,1.5039311642650957,4.447226489024072,6.308281332468629,1.999855994815814,77.2287414196538,0.30876843351379113,0.13004950611850352,0.06621788873386192,0.49592483055071845,142.85714285714286,71.0,8.948141829022276
PMMA-XIX,ImX1Y2.xyz,4.719183419981695,5.589875674558931,1.5173934872435526,4.393308647977048,6.231800201812611,1.9998559948158139,73.39817868701356,0.2871545432527304,0.07417525107294695,0.10300787998096714,0.4824625075722613,142.85714285714286,71.0,8.839655227318003
PMMA-XIX,ImX2Y0.xyz,4.847723560290407,5.725367188161932,1.5083841378106573,4.503844728431966,6.388592911745186,1.999855994815813,71.29734973566732,0.2536739864307438,0.07635228401361072,0.10381405307011173,0.4914718570051557,142.85714285714286,71.0,9.062061827830918
PMMA-XIX,ImX2Y1.xyz,4.5914672482865955,5.50056642413488,1.5334526784270157,4.314616239843612,6.120176957424152,1.9998559948158139,66.593411360365,0.25490690812344785,0.06416584767988974,0.10124062385772134,0.4664033163887982,142.85714285714286,71.0,8.681320402099821
PMMA-XIX,ImX2Y2.xyz,4.618003214695318,5.479061327613582,1.495955038461343,4.279444252631342,6.070286359114267,1.999855994815814,67.3136747884462,0.2681476362529646,0.07911283383486138,0.0973965636090604,0.5039009563544712,142.85714285714286,71.0,8.610551816159642
PMMA-XV,ImX0Y0.xyz,5.299117849340784,6.195236162512345,1.6214327651724492,4.546913529312523,6.4496849459101115,1.9998559948158137,70.91144943949718,0.262754507530046,0.16543185067827587,0.03945135080731623,0.3784232296433645,142.85714285714286,71.0,9.148719374874291
